0,1992,Summer,Barcelona,1992 Summer
1,2012,Summer,London,2012 Summer
2,1920,Summer,Antwerpen,1920 Summer
3,1900,Summer,Paris,1900 Summer
4,1988,Winter,Calgary,1988 Winter
5,1992,Winter,Albertville,1992 Winter
6,1994,Winter,Lillehammer,1994 Winter
7,1932,Summer,Los Angeles,1932 Summer
8,2002,Winter,Salt Lake City,2002 Winter
9,1952,Summer,Helsinki,1952 Summer
10,1980,Winter,Lake Placid,1980 Winter
11,2000,Summer,Sydney,2000 Summer
12,1996,Summer,Atlanta,1996 Summer
13,1912,Summer,Stockholm,1912 Summer
14,1924,Summer,Paris,1924 Summer
15,2014,Winter,Sochi,2014 Winter
16,1948,Summer,London,1948 Summer
17,1998,Winter,Nagano,1998 Winter
18,2006,Winter,Torino,2006 Winter
19,2008,Summer,Beijing,2008 Summer
20,2016,Summer,Rio de Janeiro,2016 Summer
21,2004,Summer,Athina,2004 Summer
22,1960,Winter,Squaw Valley,1960 Winter
23,1964,Winter,Innsbruck,1964 Winter
24,1984,Winter,Sarajevo,1984 Winter
25,1984,Summer,Los Angeles,1984 Summer
26,1968,Summer,Mexico City,1968 Summer
27,1972,Summer,Munich,1972 Summer
28,1988,Summer,Seoul,1988 Summer
29,1936,Summer,Berlin,1936 Summer
30,1952,Winter,Oslo,1952 Winter
31,1956,Winter,Cortina d'Ampezzo,1956 Winter
32,1956,Summer,Melbourne,1956 Summer
33,1960,Summer,Roma,1960 Summer
34,1928,Summer,Amsterdam,1928 Summer
35,1976,Summer,Montreal,1976 Summer
36,1980,Summer,Moskva,1980 Summer
37,1964,Summer,Tokyo,1964 Summer
38,2010,Winter,Vancouver,2010 Winter
39,1968,Winter,Grenoble,1968 Winter
40,1906,Summer,Athina,1906 Summer
41,1972,Winter,Sapporo,1972 Winter
42,1976,Winter,Innsbruck,1976 Winter
43,1924,Winter,Chamonix,1924 Winter
44,1904,Summer,St. Louis,1904 Summer
45,1928,Winter,Sankt Moritz,1928 Winter
46,1908,Summer,London,1908 Summer
47,1948,Winter,Sankt Moritz,1948 Winter
48,1932,Winter,Lake Placid,1932 Winter
49,1936,Winter,Garmisch-Partenkirchen,1936 Winter
50,1896,Summer,Athina,1896 Summer
51,1956,Summer,Stockholm,1956 Summer
