                                                                                                                                                        |
 2497991305         | AUSTINLOVESBEER | John Humphrys accused of patronising Angela Rayner on Today programme https://t.co/1nWj11h0tR                                                                            | United States | English        | 3/8/2017 8:59    | 3/8/2017 8:59    |             41 |             34 |     171 | RETWEET     | Right        |          1 | RightTroll       |             0 | 2497991305      | 839400131325648896 | http://twitter.com/2497991305/statuses/839400131325648896      | http://bit.ly/2m0OQL7                                                                                                                                                                                               |                                                                                                                                                                |
 2497991305         | AUSTINLOVESBEER | Fossilized poop found in 180-million-year-old 'ghost-gut' reveals a dinosaur's last meal https://t.co/BF6bsG3z39                                                         | United States | English        | 3/8/2017 8:59    | 3/8/2017 8:59    |             41 |             34 |     174 | RETWEET     | Right        |          1 | RightTroll       |             0 | 2497991305      | 839400253413437440 | http://twitter.com/2497991305/statuses/839400253413437440      | http://dailym.ai/2lV5BXf                                                                                                                                                                                            |                                                                                                                                                                |
 2497991305         | AUSTINLOVESBEER | NHS fails to treat one in six cancer patients on time https://t.co/8M6o3wn7WG                                                                                            | United States | English        | 3/8/2017 9:00    | 3/8/2017 9:00    |             41 |             34 |     176 | RETWEET     | Right        |          1 | RightTroll       |             0 | 2497991305      | 839400338515881984 | http://twitter.com/2497991305/statuses/839400338515881984      | http://trib.al/hBZijWg                                                                                                                                                                                              |                                                                                                                                                                |
 2497991305         | AUSTINLOVESBEER | Real reason Alexis Sanchez walked out of Arsenal training revealed https://t.co/zNkBLkCuz9 https://t.co/S0fIhs70sv                                                       | United States | English        | 3/8/2017 9:00    | 3/8/2017 9:00    |             41 |             34 |     180 | RETWEET     | Right        |          1 | RightTroll       |             0 | 2497991305      | 839400484326690817 | http://twitter.com/2497991305/statuses/839400484326690817      | https://twitter.com/SunSport/status/839382682370965504/photo/1                                                                                                                                                      | http://thesun.uk/60148X0Di                                                                                                                                     |
 2497991305         | AUSTINLOVESBEER | George Michael cause of death revealed: What is a dilated cardiomyopathy and fatty liver? https://t.co/luiDpJOc4h https://t.co/g3S2LGJ8hq                                | United States | English        | 3/8/2017 9:00    | 3/8/2017 9:00    |             41 |             34 |     177 | RETWEET     | Right        |          1 | RightTroll       |             0 | 2497991305      | 839400379238379520 | http://twitter.com/2497991305/statuses/839400379238379520      | https://twitter.com/Daily_Star/status/839383939227639808/photo/1                                                                                                                                                    | http://bit.ly/2mewcAw                                                                                                                                          |
 2497991305         | AUSTINLOVESBEER | Russian TV crew 'offer Swedish teenagers money' to cause trouble in front of cameras https://t.co/kzm7e7U5S9                                                             | United States | English        | 3/8/2017 9:00    | 3/8/2017 9:00    |             41 |             34 |     178 | RETWEET     | Right        |          1 | RightTroll       |             0 | 2497991305      | 839400406463631360 | http://twitter.com/2497991305/statuses/839400406463631360      | http://ind.pn/2lXx9w2                                                                                                                                                                                               |                                                                                                                                                                |
 2497991305         | AUSTINLOVESBEER | Donald Trump met Russian ambassador during election campaign https://t.co/oArd5BSGBK                                                                                     | United States | English        | 3/8/2017 9:00    | 3/8/2017 9:00    |             41 |             34 |     179 | RETWEET     | Right        |          1 | RightTroll       |             0 | 2497991305      | 839400447295160321 | http://twitter.com/2497991305/statuses/839400447295160321      | http://ind.pn/2lCVb3r                                                                                                                                                                                               |                                                                                                                                                                |
 2497991305         | AUSTINLOVESBEER | MPs raise concerns over tougher knife crime guidelines' impact on prison populations https://t.co/KJ0tkclknd                                                             | United States | English        | 3/8/2017 9:00    | 3/8/2017 9:00    |             41 |             34 |     181 | RETWEET     | Right        |          1 | RightTroll       |             0 | 2497991305      | 839400515565821952 | http://twitter.com/2497991305/statuses/839400515565821952      | http://ind.pn/2lCTdjn                                                                                                                                                                                               |                                                                                                                                                                |
 2497991305         | AUSTINLOVESBEER | Single doesn't always mean lonely, and relationship doesn't always mean happy.                                                                                           | United States | English        | 4/3/2015 12:48   | 4/3/2015 12:48   |             48 |             42 |     275 |             | Right        |          0 | RightTroll       |             0 | 2497991305      | 583974235040686081 | http://twitter.com/AustinLovesBeer/statuses/583974235040686081 |                                                                                                                                                                                                                     |                                                                                                                                                                |
 2497991305         | AUSTINLOVESBEER | Where's your will to be weird?                                                                                                                                           | United States | English        | 4/3/2015 12:53   | 4/3/2015 12:53   |             48 |             42 |     277 |             | Right        |          0 | RightTroll       |             0 | 2497991305      | 583975714556260352 | http://twitter.com/AustinLovesBeer/statuses/583975714556260352 |                                                                                                                                                                                                                     |                                                                                                                                                                |
 2497991305         | AUSTINLOVESBEER | How wonderful it is that nobody need wait a single moment before starting to improve the world.  – Anne Frank                                                            | United States | English        | 4/3/2015 12:54   | 4/3/2015 12:54   |             48 |             42 |     279 |             | Right        |          0 | RightTroll       |             0 | 2497991305      | 583975947851800576 | http://twitter.com/AustinLovesBeer/statuses/583975947851800576 |                                                                                                                                                                                                                     |                                                                                                                                                                |
 2497991305         | AUSTINLOVESBEER | How Can You Still Call That A Skirt??                                                                                                                                    | United States | English        | 4/3/2015 12:54   | 4/3/2015 12:54   |             48 |             42 |     278 |             | Right        |          0 | RightTroll       |             0 | 2497991305      | 583975918508449793 | http://twitter.com/AustinLovesBeer/statuses/583975918508449793 |                                                                                                                                                                                                                     |                                                                                                                                                                |
 2497991305         | AUSTINLOVESBEER | Puncha yo buns, puncha yo buns!                                                                                                                                          | United States | Uzbek          | 4/3/2015 12:57   | 4/3/2015 12:57   |             48 |             42 |     280 |             | Right        |          0 | RightTroll       |             0 | 2497991305      | 583976575130935296 | http://twitter.com/AustinLovesBeer/statuses/583976575130935296 |                                                                                                                                                                                                                     |                                                                                                                                                                |
 2497991305         | AUSTINLOVESBEER | Sometimes all you need, is someone who can make you smile.                                                                                                               | United States | English        | 4/3/2015 12:58   | 4/3/2015 12:59   |             48 |             42 |     281 |             | Right        |          0 | RightTroll       |             0 | 2497991305      | 583976984348200960 | http://twitter.com/AustinLovesBeer/statuses/583976984348200960 |                                                                                                                                                                                                                     |                                                                                                                                                                |
 2497991305         | AUSTINLOVESBEER | This is totally gonna be the best album yet http://t.co/pEhydhWVNC                                                                                                       | United States | English        | 4/3/2015 12:59   | 4/3/2015 12:59   |             48 |             42 |     282 |             | Right        |          0 | RightTroll       |             0 | 2497991305      | 583977038974844928 | http://twitter.com/AustinLovesBeer/statuses/583977038974844928 | http://youtu.be/zNkivNlkjj8                                                                                                                                                                                         |                                                                                                                                                                |
 2497991305         | AUSTINLOVESBEER | My heart breaks a little, when I hear your name                                                                                                                          | United States | English        | 4/3/2015 12:59   | 4/3/2015 12:59   |             48 |             42 |     283 |             | Right        |          0 | RightTroll       |             0 | 2497991305      | 583977102048788480 | http://twitter.com/AustinLovesBeer/statuses/583977102048788480 |                                                                                                                                                                                                                     |                                                                                                                                                                |
 2497991305         | AUSTINLOVESBEER | Awards become corroded, friends gather no dust. -Jesse Owens                                                                                                             | United States | English        | 4/3/2015 13:00   | 4/3/2015 13:01   |             48 |             42 |     285 |             | Right        |          0 | RightTroll       |             0 | 2497991305      | 583977481452924928 | http://twitter.com/AustinLovesBeer/statuses/583977481452924928 |                                                                                                                                                                                                                     |                                                                                                                                                                |
 2497991305         | AUSTINLOVESBEER | get educated or go to sell bricks                                                                                                                                        | United States | English        | 4/3/2015 13:00   | 4/3/2015 13:00   |             48 |             42 |     284 |             | Right        |          0 | RightTroll       |             0 | 2497991305      | 583977419779866624 | http://twitter.com/AustinLovesBeer/statuses/583977419779866624 |                                                                                                                                                                                                                     |                                                                                                                                                                |
 2497991305         | AUSTINLOVESBEER | « How many are the things I can do without! » Socrates                                                                                                                   | United States | English        | 4/3/2015 13:02   | 4/3/2015 13:02   |             48 |             42 |     287 |             | Right        |          0 | RightTroll       |             0 | 2497991305      | 583977848148402176 | http://twitter.com/AustinLovesBeer/statuses/583977848148402176 |                                                                                                                                                                                                                     |                                                                                                                                                                |
 2497991305         | AUSTINLOVESBEER | https://t.co/x1UQ83hErq wow!                                                                                                                                             | United States | English        | 4/3/2015 13:04   | 4/3/2015 13:04   |             48 |             42 |     288 |             | Right        |          0 | RightTroll       |             0 | 2497991305      | 583978439356481536 | http://twitter.com/AustinLovesBeer/statuses/583978439356481536 | https://vine.co/v/OpF7wKdDKrJ                                                                                                                                                                                       |                                                                                                                                                                |
 2497991305         | AUSTINLOVESBEER | wonderful! http://t.co/ihiCzMOwrn                                                                                                                                        | United States | English        | 4/3/2015 13:07   | 4/3/2015 13:07   |             48 |             42 |     290 |             | Right        |          0 | RightTroll       |             0 | 2497991305      | 583979018753413120 | http://twitter.com/AustinLovesBeer/statuses/583979018753413120 | http://vimeo.com/112673745                                                                                                                                                                                          |                                                                                                                                                                |
 2497991305         | AUSTINLOVESBEER | Don't feel sad over someone who gave up on you, feel sorry for them because they gave up on someone who would have never given up on them.                               | United States | English        | 4/3/2015 13:08   | 4/3/2015 13:08   |             48 |             42 |     291 |             | Right        |          0 | RightTroll       |             0 | 2497991305      | 583979301583720448 | http://twitter.com/AustinLovesBeer/statuses/583979301583720448 |                                                                                                                                                                                                                     |                                                                                                                                                                |
 2497991305         | AUSTINLOVESBEER | Who's watching Adventure Time right now?                                                                                                                                 | United States | English        | 4/3/2015 13:11   | 4/3/2015 13:11   |             48 |             42 |     292 |             | Right        |          0 | RightTroll       |             0 | 2497991305      | 583980097679425538 | http://twitter.com/AustinLovesBeer/statuses/583980097679425538 |                                                                                                                                                                                                                     |                                                                                                                                                                |
 2497991305         | AUSTINLOVESBEER | What an awesome pass by Manu! San Antonio Spurs https://t.co/oroTeeygsS                                                                                                  | United States | English        | 4/3/2015 13:13   | 4/3/2015 13:13   |             48 |             42 |     294 |             | Right        |          0 | RightTroll       |             0 | 2497991305      | 583980603764117504 | http://twitter.com/AustinLovesBeer/statuses/583980603764117504 | https://vine.co/v/OX9T63HZ2Dt                                                                                                                                                                                       |                                                                                                                                                                |
 2497991305         | AUSTINLOVESBEER | Where one thing falls, another grows. Maybe not what was there before, but something new and wonderful all the same.                                                     | United States | English        | 4/3/2015 13:13   | 4/3/2015 13:13   |             48 |             42 |     293 |             | Right        |          0 | RightTroll       |             0 | 2497991305      | 583980540212060161 | http://twitter.com/AustinLovesBeer/statuses/583980540212060161 |                                                                                                                                                                                                                     |                                                                                                                                                                |
 2497991305         | AUSTINLOVESBEER | Pull the string, and it will follow wherever you wish. Push it, and it will go nowhere at all.                                                                           | United States | English        | 4/3/2015 13:13   | 4/3/2015 13:13   |             48 |             42 |     295 |             | Right        |          0 | RightTroll       |             0 | 2497991305      | 583980632654491649 | http://twitter.com/AustinLovesBeer/statuses/583980632654491649 |                                                                                                                                                                                                                     |                                                                                                                                                                |
 2497991305         | AUSTINLOVESBEER | You have to hurt in order to know, fall in order to grow, lose in order to gain. Because most of life’s lessons are learned in pain.                                     | United States | English        | 4/3/2015 13:16   | 4/3/2015 13:16   |             48 |             42 |     298 |             | Right        |          0 | RightTroll       |             0 | 2497991305      | 583981344780189698 | http://twitter.com/AustinLovesBeer/statuses/583981344780189698 |                                                                                                                                                                                                                     |                                                                                                                                                                |
 2497991305         | AUSTINLOVESBEER | When you hear that amazing song you haven't heard in years. :) #dailyteen                                                                                                | United States | English        | 4/3/2015 13:17   | 4/3/2015 13:17   |             48 |             42 |     299 |             | Right        |          0 | RightTroll       |             0 | 2497991305      | 583981563454464000 | http://twitter.com/AustinLovesBeer/statuses/583981563454464000 |                                                                                                                                                                                                                     |                                                                                                                                                                |
 2497991305         | AUSTINLOVESBEER | A day without a friend is like a pot without a single drop of honey left inside. – Pooh                                                                                  | United States | English        | 4/3/2015 13:17   | 4/3/2015 13:17   |             48 |             42 |     300 |             | Right        |          0 | RightTroll       |             0 | 2497991305      | 583981592881700865 | http://twitter.com/AustinLovesBeer/statuses/583981592881700865 |                                                                                                                                                                                                                     |                                                                                                                                                                |
 2497991305         | AUSTINLOVESBEER | be lazy all day long. Great plan!                                                                                                                                        | United States | English        | 4/3/2015 13:18   | 4/3/2015 13:18   |             48 |             42 |     302 |             | Right        |          0 | RightTroll       |             0 | 2497991305      | 583981889154781184 | http://twitter.com/AustinLovesBeer/statuses/583981889154781184 |                                                                                                                                                                                                                     |                                                                                                                                                                |
 2497991305         | AUSTINLOVESBEER | where is my fav sweatshot? I won't go out naked. Hm.. Or will…                                                                                                           | United States | English        | 4/3/2015 13:18   | 4/3/2015 13:18   |             48 |             42 |     301 |             | Right        |          0 | RightTroll       |             0 | 2497991305      | 583981800864612354 | http://twitter.com/AustinLovesBeer/statuses/583981800864612354 |                                                                                                                                                                                                                     |                                                                                                                                                                |
 2497991305         | AUSTINLOVESBEER | Our vision is more obstructed by what we think we know than by our lack of knowledge.                                                                                    | United States | English        | 4/3/2015 13:23   | 4/3/2015 13:24   |             48 |             42 |     303 |             | Right        |          0 | RightTroll       |             0 | 2497991305      | 583983252735533056 | http://twitter.com/AustinLovesBeer/statuses/583983252735533056 |                                                                                                                                                                                                                     |                                                                                                                                                                |
